date,disease,other,wounds
1854-04-01 00:00:00,110,110,0
1854-05-01 00:00:00,105,95,0
1854-06-01 00:00:00,95,40,0
1854-07-01 00:00:00,520,140,0
1854-08-01 00:00:00,800,150,20
1854-09-01 00:00:00,740,230,220
1854-10-01 00:00:00,600,310,305
1854-11-01 00:00:00,820,290,480
1854-12-01 00:00:00,1100,310,295
1855-01-01 00:00:00,1440,460,230
1855-02-01 00:00:00,1270,520,180
1855-03-01 00:00:00,935,350,155
1855-04-01 00:00:00,560,195,195
1855-05-01 00:00:00,550,155,180
1855-06-01 00:00:00,650,130,330
1855-07-01 00:00:00,430,130,260
1855-08-01 00:00:00,490,110,290
1855-09-01 00:00:00,290,100,355
1855-10-01 00:00:00,245,95,135
1855-11-01 00:00:00,325,140,100
1855-12-01 00:00:00,215,120,40
1856-01-01 00:00:00,160,160,0
1856-02-01 00:00:00,100,100,0
1856-03-01 00:00:00,90,125,0
